city,plan,score,target
LA,basic,55.91316116927982,1
LA,plus,41.169213415204666,0
HOU,basic,43.00621951603518,0
MIA,plus,45.814911187895675,0
LA,basic,48.88581223418409,0
LA,basic,34.562745973081036,0
HOU,pro,69.16893440201679,1
LA,pro,46.44484089910516,0
LA,basic,65.70110622038854,1
HOU,basic,38.75048262167143,0
HOU,pro,70.81920380314202,1
NYC,pro,57.71578542400933,1
MIA,pro,40.835755540560285,0
MIA,plus,39.57038606397148,0
LA,basic,63.26471668319048,1
MIA,pro,62.48648674052005,1
LA,basic,49.21268316332193,0
NYC,plus,27.832389455170908,0
HOU,plus,63.89566338614964,1
HOU,pro,76.70423897815517,1
HOU,plus,66.88017032368914,1
MIA,basic,43.8475478423051,0
NYC,pro,61.82799467150787,1
MIA,basic,54.921410339366616,1
MIA,basic,34.72547374165589,0
NYC,plus,51.80492505499548,1
NYC,plus,60.710415241175085,1
NYC,plus,57.64478235325711,1
NYC,plus,38.888361872559024,0
HOU,plus,41.37384878434452,0
CHI,pro,65.90593989424146,1
CHI,basic,56.328524373827115,1
NYC,basic,27.458413204823845,0
CHI,basic,25.434068542266054,0
CHI,basic,49.23467938648454,0
NYC,plus,44.10347143312834,0
CHI,basic,47.016987768362924,0
MIA,pro,53.887094093401856,1
LA,pro,67.8402354456309,1
LA,basic,51.0356808444235,0
NYC,basic,52.67636014163125,1
HOU,pro,44.57687173490007,0
NYC,pro,24.359044735366894,0
HOU,plus,61.23541781691517,1
LA,pro,79.43205188113888,1
NYC,plus,46.574111317693536,0
MIA,plus,52.493145416219555,1
CHI,plus,53.24518316374555,1
HOU,plus,66.7529324966822,1
CHI,plus,58.88984294277154,1
CHI,basic,54.96064233225875,1
NYC,pro,58.55572156943967,1
CHI,plus,50.60232921489092,0
MIA,pro,43.605384033662695,0
CHI,pro,54.165124738052384,1
NYC,plus,58.86201966129376,1
MIA,basic,47.66296820685995,0
LA,plus,50.443505574990674,0
CHI,basic,38.23872522010929,0
NYC,pro,62.455069012813844,1
LA,basic,35.38243343964278,0
LA,basic,52.89882811537126,1
HOU,basic,48.12775043651186,0
MIA,pro,40.56714752788241,0
CHI,pro,68.6947795204087,1
NYC,basic,48.36134736537032,0
HOU,basic,68.60778054119166,1
MIA,plus,64.78252114822463,1
HOU,basic,41.20532159753243,0
MIA,plus,42.0828002134442,0
MIA,basic,38.280231455495546,0
CHI,plus,34.13536381573665,0
MIA,pro,53.77822825049003,1
HOU,basic,64.43747209685762,1
MIA,basic,30.850926303904778,0
CHI,basic,58.51944467564685,1
CHI,basic,57.68339454305004,1
HOU,plus,55.54692794223629,1
LA,basic,57.33173364744352,1
LA,pro,46.95778211452867,0
MIA,pro,65.61571841297597,1
NYC,basic,44.5074181845893,0
MIA,pro,33.40806637921452,0
HOU,basic,50.57412947756371,0
HOU,basic,41.558922675912534,0
HOU,pro,71.58816633332728,1
HOU,basic,47.13653483834081,0
HOU,pro,58.45607839925595,1
CHI,plus,53.891795761445394,1
LA,basic,47.325993621166205,0
HOU,plus,48.96158882570001,0
NYC,pro,66.43574022780345,1
NYC,plus,39.336785217600315,0
NYC,plus,42.981865574724,0
NYC,pro,48.328889453990335,0
CHI,plus,64.36754672549553,1
NYC,plus,42.9830002299217,0
HOU,pro,56.5671674128292,1
MIA,plus,43.99395318750415,0
NYC,pro,54.91822046725213,1
CHI,plus,42.625705335232176,0
CHI,pro,62.62724313641119,1
NYC,pro,47.591498467201035,0
MIA,plus,36.47549445090003,0
NYC,plus,44.415796305672394,0
CHI,plus,42.01764781968467,0
LA,basic,36.621551761916216,0
HOU,basic,46.766272009967985,0
CHI,basic,33.39882579443667,0
NYC,pro,75.27747627434259,1
HOU,plus,35.07398635584307,0
NYC,pro,51.53700500699251,1
NYC,basic,45.96445043153089,0
LA,plus,66.84684964605621,1
HOU,pro,40.69684689575822,0
HOU,plus,51.42050091917568,0
LA,pro,68.37158464944625,1
CHI,plus,46.90256896517395,0
NYC,basic,38.301829678289906,0
MIA,basic,48.920150356469414,0
NYC,plus,65.27101259892477,1
